127.0.0.1 - - [24/Sep/2019:19:25:49 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:25:53 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:23 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:30 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:32 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:33 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:33 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:33 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:34 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:34 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:54 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:26:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:28:15 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:28:21 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:28:23 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:28:23 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:28:33 +0530] "POST /MyFrontEndDemo/pickme HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:28:39 +0530] "POST /MyFrontEndDemo/pickme HTTP/1.1" 404 1099
